,時限,教室,回生
928,木5,共北24(CALL),２回生以上
929,木5,1共03,２回生以上
930,木5,情報メ203・204,主として１回生
931,木5,総合研究7号館 情報1,全回生
932,木5,共東12,２回生以上
933,木5,共北25,全回生
934,金1,1共33,２回生以上
935,金1,4共11,主として１回生
936,金1,共北27,主として１回生
937,金1,共南11,主として１回生
938,金1,4共21,主として１回生
939,金1,4共31,主として１・２回生
940,金1,共西41,全回生
941,金1,共南01,主として２回生
942,金1,共西42,２回生以上
943,金1,共西22,１回生
944,金1,共西12,１回生
945,金1,共西11,１回生
946,金1,共北36,１回生
947,金1,共西01,１回生
948,金1,1共25(LL),１回生
949,金1,共北35,１回生
950,金1,共北3A,１回生
951,金1,共北34,１回生
952,金1,共西03,１回生
953,金1,共北33,１回生
954,金1,教育院棟演習室24,１回生
955,金1,共北11,１回生
956,金1,1共04,１回生
957,金1,1共22,１回生
958,金1,共西23,２回生以上
959,金1,吉田国際交流会館南講義室2,全回生
960,金1,情報メ203・204,１回生
961,金1,1共03,全回生
962,金2,教育院棟演習室21,全回生
963,金2,4共33,全回生
964,金2,共東12,全回生
965,金2,教育院棟講義室32,全回生
966,金2,4共21,全回生
967,金2,共北12,全回生
968,金2,共北3B,全回生
969,金2,人環535,全回生
970,金2,共北31,２回生以上
971,金2,共東11,全回生
972,金2,共西22,２回生以上
973,金2,文学部校舎第7講義室,２回生以上
974,金2,共東21,主として２回生
975,金2,共北33,主として１・２回生
976,金2,共北3C,主として１回生
977,金2,共東42,主として２回生
978,金2,薬学部本館2階講堂,主として１回生
979,金2,1共01,主として１・２回生
980,金2,共南01,主として１回生
981,金2,1共31,主として１・２回生
982,金2,共北38,主として１・２回生
983,金2,共北11,主として１・２回生
984,金2,共西12,１回生
985,金2,1共33,１回生
986,金2,共北36,１回生
987,金2,共西01,１回生
988,金2,共北21(CALL),１回生
989,金2,共北35,１回生
990,金2,共北3A,１回生
991,金2,共北34,１回生
992,金2,4共12,全回生
993,金2,吉田国際交流会館南講義室5,全回生
994,金2,共西03,全回生
995,金2,4共13,全回生
996,金2,共西02,全回生
997,金2,共北23(CALL),全回生
998,金2,1共03,全回生
999,金2,4共23,全回生
1000,金2,共西23,全回生
1001,金2,情報メ301(CALL),全回生
1002,金2,4共20,全回生
1003,金2,1共24(CALL),２回生以上
1004,金2,共西11,２回生以上
1005,金2,吉田国際交流会館南講義室2,全回生
1006,金2,吉田国際交流会館南講義室3,全回生
1007,金2,桂A1-131、宇治S143,大学院生
1008,金2,情報メ203・204,１回生
1009,金2,共北24(CALL),２回生以上
